Sl.,District,Cross Breed,Bivoltine,Total,,,
1,Bengaluru Rural,4688.627,311.978,5000.605,,,
2,Bengaluru Urban,726.106,391.616,1117.722,,,
3,Chikkaballapura,13183.805,472.235,13656.040,,,
4,Chitradurga,435.633,368.766,804.399,,,
5,Davanagere,59.081,140.715,199.796,,,
6,Kolar,11690.231,1080.623,12770.854,,,
7,Ramanagar,12327.577,414.821,12742.398,,,
8,Shivamogga,30.737,65.513,96.250,,,
9,Tumkur,1783.930,1270.400,3054.330,,,
10,Chamarajanagar,258.942,52.293,311.235,,,
11,Chikkamagaluru,0.347,18.458,18.805,,,
12,Dakshina Kannada,0.049,1.494,1.543,,,
13,Hassan,0.000,596.827,596.827,,,
14,Kodagu,0.000,5.136,5.136,,,
15,Mandya,14741.354,742.002,15483.356,,,
16,Mysuru,367.972,509.333,877.305,,,
17,Udupi,0.000,2.255,2.255,,,
18,Ballari,168.010,484.748,652.758,,,
19,Bidar,5.799,120.780,126.579,,,
20,Kalaburagi,6.107,126.737,132.844,,,
21,Koppal,4.130,103.824,107.954,,,
22,Raichur,17.763,199.649,217.412,,,
23,Yadagiri,13.238,41.268,54.506,,,
24,Bagalakote,34.780,188.331,223.111,,,
25,Belagavi,48.870,257.574,306.444,,,
26,Vijayapura,8.542,85.134,93.676,,,
27,Dharawad,4.227,35.372,39.599,,,
28,Gadaga,4.163,161.493,165.656,,,
29,Haveri,225.652,566.848,792.500,,,
30,Uttara Kannada,0.924,36.590,37.514,,,
,Total ,60836.596,8852.813,69689.409,,,
31,Mysuru Seed Area,746.732,,746.732,,,
State Total,,61583.328,8852.81,70436.141,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
